"date","BUD","RI.PA","HEINY"
"2011-01-03",44.283073,60.260731,21.013296
"2011-01-04",44.060246,59.218678,20.784801
"2011-01-05",43.660679,58.371506,20.378588
"2011-01-06",43.852764,58.235931,20.353201
"2011-01-07",43.491623,59.19326,20.13316
"2011-01-08",43.491623,59.19326,20.13316
"2011-01-09",43.491623,59.19326,20.13316
"2011-01-10",43.49931,58.744244,19.97237
"2011-01-11",43.829723,58.973011,20.192404
"2011-01-12",44.651909,59.913368,20.649397
"2011-01-13",45.089901,59.73547,20.894821
"2011-01-14",44.498234,59.52367,20.911747
"2011-01-15",44.498234,59.52367,20.911747
"2011-01-16",44.498234,59.52367,20.911747
"2011-01-17",44.498234,60.574192,20.911747
"2011-01-18",44.090977,60.548763,21.207947
"2011-01-19",43.683723,60.464054,21.004837
"2011-01-20",42.907635,59.117012,21.207947
"2011-01-21",42.80006,59.201736,21.241796
"2011-01-22",42.80006,59.201736,21.241796
"2011-01-23",42.80006,59.201736,21.241796
"2011-01-24",43.506996,60.201431,21.537998
"2011-01-25",44.213921,60.709732,21.622627
"2011-01-26",44.152447,60.921535,21.690331
"2011-01-27",43.391727,60.404743,21.470295
"2011-01-28",42.315971,59.303406,21.013296
"2011-01-29",42.315971,59.303406,21.013296
"2011-01-30",42.315971,59.303406,21.013296
"2011-01-31",42.500389,58.989937,21.309502
"2011-02-01",42.777008,59.286469,22.003456
"2011-02-02",43.222683,60.726677,21.732645
"2011-02-03",43.030582,59.981167,21.622627
"2011-02-04",42.715542,59.566036,21.487223
"2011-02-05",42.715542,59.566036,21.487223
"2011-02-06",42.715542,59.566036,21.487223
"2011-02-07",43.253422,59.743927,21.580315
"2011-02-08",43.391727,59.337284,21.368744
"2011-02-09",43.145844,59.261047,21.402596
"2011-02-10",42.846169,59.244106,20.970987
"2011-02-11",43.022892,59.913368,20.860968
"2011-02-12",43.022892,59.913368,20.860968
"2011-02-13",43.022892,59.913368,20.860968
"2011-02-14",42.246807,58.871326,20.691713
"2011-02-15",42.239128,59.481312,20.987909
"2011-02-16",42.246807,59.837135,21.868046
"2011-02-17",42.185337,57.278622,21.859589
"2011-02-18",42.185337,56.770302,21.994993
"2011-02-19",42.185337,56.770302,21.994993
"2011-02-20",42.185337,56.770302,21.994993
"2011-02-21",42.185337,57.058346,21.994993
"2011-02-22",41.885658,56.558498,21.597237
"2011-02-23",42.492702,55.821445,21.622627
"2011-02-24",42.392796,56.109482,21.707254
"2011-02-25",42.415855,56.566967,21.825735
"2011-02-26",42.415855,56.566967,21.825735
"2011-02-27",42.415855,56.566967,21.825735
"2011-02-28",43.053635,56.600861,21.774958
"2011-03-01",43.20731,57.312504,21.749569
"2011-03-02",43.107414,57.168484,21.859589
"2011-03-03",44.429077,56.999039,22.358894
"2011-03-04",44.598125,56.550022,22.257338
"2011-03-05",44.598125,56.550022,22.257338
"2011-03-06",44.598125,56.550022,22.257338
"2011-03-07",43.845089,55.728249,22.392746
"2011-03-08",44.029507,56.660156,22.308123
"2011-03-09",44.283073,56.685593,22.274267
"2011-03-10",43.798985,56.084068,21.834196
"2011-03-11",43.837402,55.389374,21.698793
"2011-03-12",43.837402,55.389374,21.698793
"2011-03-13",43.837402,55.389374,21.698793
"2011-03-14",43.530048,54.423576,21.47876
"2011-03-15",42.377438,52.907101,21.334888
"2011-03-16",41.416935,52.381855,20.818653
"2011-03-17",42.162285,53.322231,21.622627
"2011-03-18",42.292912,53.076542,21.673401
"2011-03-19",42.292912,53.076542,21.673401
"2011-03-20",42.292912,53.076542,21.673401
"2011-03-21",43.39941,54.347328,22.045771
"2011-03-22",43.030582,54.194836,21.673401
"2011-03-23",43.483936,54.821762,22.147324
"2011-03-24",44.129402,55.60965,22.088085
"2011-03-25",44.160141,55.694355,22.257338
"2011-03-26",44.160141,55.694355,22.257338
"2011-03-27",44.160141,55.694355,22.257338
"2011-03-28",43.652988,55.160645,22.257338
"2011-03-29",43.722145,55.457157,22.528152
"2011-03-30",44.23698,56.40601,22.93437
"2011-03-31",43.929619,55.829918,23.10363
"2011-04-01",45.22821,55.914639,23.323664
"2011-04-02",45.22821,55.914639,23.323664
"2011-04-03",45.22821,55.914639,23.323664
"2011-04-04",45.758415,55.804497,23.475994
